Phase 0,Phase 1,Phase 2,Phase 3,Phase 4,f_score,mse,epe,accuracy,jaccard,file,pel
7.88,424.33,1109.61,78.56,15.67,0.2075134168157424,0.07172881004656706,2.7613653082242164,0.9282711899534329,0.8842315369261478,worm,pelModificato
15.6,560.89,1389.5,69.99,8.53,0.20252984650369527,0.07268087641919417,2.7399187699448797,0.9273191235808058,0.887325057325848,worm,pelBase
12.13,731.92,1702.39,103.85,15.87,0.19548486403283735,0.07177734375,1.904079285019025,0.92822265625,0.8916690361103213,lena,pelModificato
17.29,899.9,2509.35,100.45,18.48,0.1953836981517758,0.07207489013671875,1.9098727512066695,0.9279251098632812,0.8917311685859921,lena,pelBase
7.56,419.98,403.82,40.69,2.05,0.26166568222090963,0.060240963855421686,1.5791777693186144,0.9397590361445783,0.8494733265375467,apartment,pelModificato
7.1,499.28,458.67,38.66,8.64,0.260575296108291,0.060548192771084336,1.5962662643786536,0.9394518072289156,0.8501945525291829,apartment,pelBase
13.4,420.93,314.71,15.67,8.04,0.35308237861429353,0.034293481404361156,0.8612544121639968,0.9657065185956388,0.7856101762289651,birds,pelModificato
16.53,471.7,384.15,26.44,4.02,0.35045711797997386,0.03451905836080745,0.8747976254722072,0.9654809416391925,0.7875428873053576,birds,pelBase
27.88,1322.18,2639.52,156.07,23.16,0.23888346270498123,0.057121913580246916,2.1909350907734395,0.9428780864197531,0.8643568113488427,cityscapes,pelModificato
17.76,1601.96,3106.75,142.25,21.51,0.23739587338203255,0.057393904320987656,2.1833508306058174,0.9426060956790123,0.8653152629129828,cityscapes,pelBase
31.25,1489.51,3834.07,126.43,47.09,0.28736733623822525,0.07603202160493827,1.523245060949979,0.9239679783950617,0.8322072547612009,kitchen,pelModificato
31.31,1712.96,4210.01,121.37,26.06,0.2881496731317947,0.0760378086419753,1.5244183609306226,0.9239621913580247,0.8316735589501224,kitchen,pelBase
15.92,406.2,244.67,16.48,0.0,0.25692541856925416,0.028237607727456763,1.4286649214659686,0.9717623922725432,0.8526021655606008,rose,pelModificato
10.11,451.81,285.32,15.66,0.0,0.2540115046927036,0.02850367285557291,1.445019404915912,0.9714963271444271,0.8545170799375759,rose,pelBase
11.21,437.79,512.16,31.68,0.0,0.24824170381376923,0.04389496211463936,1.063396575659417,0.9561050378853606,0.8582899796426148,saint,pelModificato
16.25,484.46,726.01,33.93,0.0,0.24451225514322278,0.04439238822372607,1.0656634746922025,0.955607611776274,0.8607154872715039,saint,pelBase
14.69,439.59,1508.75,76.83,0.0,0.19877019877019877,0.0725772501473436,2.7715922444183314,0.9274227498526564,0.8896475071451254,worm,pelModificato
9.69,538.01,1159.19,71.71,9.86,0.20697988485322338,0.07225989468980124,2.745029748947903,0.9277401053101988,0.8845635455482439,worm,pelBase
7.57,782.3,1752.4,86.43,15.62,0.19678714859437751,0.07171630859375,1.9048502517890273,0.92828369140625,0.8908685968819599,lena,pelModificato
16.02,910.57,1489.43,89.68,16.98,0.19718909710391824,0.07190704345703125,1.912226805933468,0.9280929565429688,0.8906213087644697,lena,pelBase
4.13,465.82,462.71,21.35,0.0,0.26201905324569824,0.060198795180722894,1.577985145686536,0.9398012048192771,0.8492393983173281,apartment,pelModificato
7.36,496.0,647.98,23.48,7.65,0.26268129279246116,0.060331325301204816,1.5853013413942945,0.9396686746987952,0.8488007458259175,apartment,pelBase
7.92,442.27,311.19,14.1,5.22,0.34736036725325176,0.034536410434380244,0.8680119989091901,0.9654635895656197,0.7898148148148147,birds,pelModificato
10.28,495.17,331.4,16.95,7.54,0.34695652173913044,0.034750419341778006,0.8819257665411512,0.965249580658222,0.7901104681746449,birds,pelBase
27.97,1440.0,2714.49,157.59,12.51,0.23858873145267054,0.057116126543209876,2.188982259570495,0.9428838734567901,0.8645468348516702,cityscapes,pelModificato
23.89,1617.65,2521.02,133.74,23.13,0.24048394125035244,0.057158564814814815,2.1854116484466677,0.9428414351851852,0.86332381562846,cityscapes,pelBase
17.27,1450.09,3058.68,140.6,25.08,0.28707320601851855,0.07604552469135803,1.5236152584430331,0.9239544753086419,0.8324077788804662,kitchen,pelModificato
16.08,1697.36,4322.07,112.29,33.74,0.28757650712260996,0.07611689814814815,1.5259762024467907,0.9238831018518519,0.8320646099993674,kitchen,pelBase
0.0,420.24,254.5,9.66,7.04,0.2548215641609719,0.028382208340563365,1.4268967762943667,0.9716177916594366,0.8539853811347025,rose,pelModificato
